repetition,b,periods,memory,G,N,fixation_threshold,winner,generation,cor_prop_fit,cor_prop_reput,cor_reput_fit
4,5,24,24,6,72,0.99,S,456,0.1888323786441001,0.7930767755157279,0.42194718660594616
4,5,24,24,6,240,0.99,S,1218,0.12360054016707939,0.6774010484587363,0.4408796111609083
4,5,24,24,12,72,0.99,S,614,0.11523521279822992,0.7487234882233678,0.41137384853850256
4,5,24,24,12,240,0.99,S,524,0.21416888200550913,0.700549118983937,0.5728898691169438
4,5,48,12,6,72,0.99,S,1893,0.1996630076506081,0.482968124414447,0.6202565310537701
4,5,48,12,6,240,0.99,S,1081,0.10349561629951705,0.31424921361335056,0.39580278853962797
4,5,48,12,12,72,0.99,S,821,0.22274108288486438,0.47349078503312,0.6586770827625994
4,5,48,12,12,240,0.99,S,2378,0.2123512964119011,0.34790433378238694,0.48354550209687064
4,5,48,24,6,72,0.99,S,360,0.10931278726228628,0.539785068858096,0.6609929050218091
4,5,48,24,6,240,0.99,S,1992,0.07779200120690184,0.37938154867943824,0.4421847396059163
4,5,48,24,12,72,0.99,S,3314,0.3027975886050258,0.48917597319956885,0.6961711925732122
4,5,48,24,12,240,0.99,S,1413,0.1918787306668632,0.39673634332858077,0.5665633482228843
4,25,24,12,6,72,0.99,GR,403,0.3367429166459859,0.6652305653342874,0.5964630778130775
4,25,24,12,6,240,0.99,S,626,-0.039933075037115844,0.35858818586615615,0.3786135257199583
4,25,24,12,12,72,0.99,GR,325,0.4897639317767838,0.7175330253612653,0.5785872764149561
4,25,24,12,12,240,0.99,S,1963,0.22024591402933438,0.47272664189045094,0.6001296603709517
