sid,period,recipient,subject,group,profit,totalprofit,pair,roletrust,ingroup,svogroup,role,roledictator,trio,trustprofit,give,other1,other2,otherteam,othernum,dictator_roundpay,dictator_team,dictator_num,dictatorprofit,selectedteam,selectednum,mean_to_self,mean_to_other,not_altru_indiv,inequality_aversion_score,payed_slider,svoprofit,kept_of_sender,received_from_sender,totalpayoff,topay,session,groupid,correct,correct_group,svo_angle,svo_type,sent,returned,kindness,discrimination,partner_team,partner_id,direct,otherdirect,greciprocity,othergreciprocity,in_group,otherin_group,conddirect,condgrec,condin,condition,inbiasround,inbias,groupbias,groupkindness,groupsend,history
116,1,2,20,5,0,0,8,2,4,9,1,2,3,30,35,3,1,3,4,35,6,3,0,0,0,0,0,0,-99,3,0,0,0,60,10,5,29,2,2,37.612617,2,10,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,,20,12.5,.41666666,,0
116,2,1,20,5,0,0,8,2,4,9,1,2,6,30,35,3,1,6,2,60,6,2,0,0,0,0,0,0,-99,3,0,0,0,60,10,5,29,2,2,37.612617,2,10,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,,,,.41666666,,0
116,2,2,20,5,0,0,8,2,4,9,1,2,6,30,35,3,1,3,2,60,6,2,0,0,0,0,0,0,-99,3,0,0,0,60,10,5,29,2,2,37.612617,2,10,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,,,,.41666666,,0
116,3,1,20,5,0,0,8,2,4,9,1,2,1,30,35,3,1,6,1,35,2,1,35,6,3,0,0,0,-99,1,0,0,0,95,16,5,29,2,2,37.612617,2,10,0,0,0,2,4,0,0,0,1,0,0,0,1,0,3,,,,.41666666,,0
116,3,2,20,5,0,0,8,2,4,9,1,2,1,30,35,3,1,2,1,35,2,1,35,6,3,0,0,0,-99,1,0,0,0,95,16,5,29,2,2,37.612617,2,10,0,0,0,2,4,0,0,1,0,0,0,0,1,0,3,,,,.41666666,,0
116,4,1,20,5,0,0,8,2,4,9,1,2,5,30,70,3,1,6,3,35,6,3,35,6,3,0,0,0,-99,3,0,0,0,95,16,5,29,2,2,37.612617,2,10,0,0,70,2,4,0,1,0,0,0,0,1,0,0,4,,,,.41666666,,1
116,4,2,20,5,0,0,8,2,4,9,1,2,5,30,0,3,1,2,4,35,6,3,35,6,3,0,0,0,-99,3,0,0,0,95,16,5,29,2,2,37.612617,2,10,0,0,70,2,4,1,0,0,0,0,0,1,0,0,4,,,,.41666666,,1
116,5,1,20,5,0,0,8,2,4,9,1,3,7,30,25,1,2,1,2,35,5,2,35,6,3,0,0,0,-99,1,0,0,0,95,16,5,29,2,2,37.612617,2,10,0,0,20,2,4,0,0,0,0,0,1,0,0,1,2,20,,,.41666666,,0
116,5,2,20,5,0,0,8,2,4,9,1,3,7,30,45,1,2,5,2,35,5,2,35,6,3,0,0,0,-99,1,0,0,0,95,16,5,29,2,2,37.612617,2,10,0,0,20,2,4,0,0,0,0,1,0,0,0,1,2,20,,,.41666666,,0
116,6,1,20,5,0,0,8,2,4,9,1,3,3,30,35,1,2,1,4,35,1,4,35,2,1,171.666666666666,138,0,-99,2,200,0,0,295,50,5,29,2,2,37.612617,2,10,0,0,0,2,4,0,0,0,1,0,0,0,1,0,3,,,,.41666666,,0
