sid,period,recipient,sessionid,subject,group,profit,totalprofit,pair,roletrust,numingroup,svogroup,role,roledictator,trio,trustprofit,give,other1,other2,otherteam,othernum,dictator_roundpay,dictator_team,dictator_num,dictatorprofit,selectedteam,selectednum,mean_to_self,mean_to_other,not_altru_indiv,inequality_aversion_score,payed_slider,svoprofit,kept_of_sender,received_from_sender,totalpayoff,topay,session,groupid,correct,correct_group,svo_angle,svo_type,collectivism,sent,returned,kindness,norsent,discrimination,partner_team,partner_id,direct,otherdirect,greciprocity,othergreciprocity,ingroup,otheringroup,conddirect,condgrec,condin,condition,_est_disc_senders,_est_discrimination,_est_disc_responders,subdisc,inbiasround,inbias,groupbias,groupkindness,groupsend,history,baseline,falsebaseline,indcondition
39,6,1,140610_1226,15,4,0,0,3,Responder,3,7,2,2,2,350,35,3,1,5,2,35,5,2,0,6,3,176.166666666667,130.333333333333,0,-99,4,30,170,30,440,74,2,10,4,4,34.868885,2,6,150,100,.22222222,1,0,1,3,0,0,0,0,0,0,0,0,0,Baseline,0,1,1,0,,,,.2013889,,0,1,0,Baseline
39,6,2,140610_1226,15,4,0,0,3,Responder,3,7,2,2,2,350,35,3,1,2,3,35,5,2,0,6,3,176.166666666667,130.333333333333,0,-99,4,30,170,30,440,74,2,10,4,4,34.868885,2,6,150,100,.22222222,1,0,1,3,0,0,0,0,0,0,0,0,0,Baseline,0,1,1,0,,,,.2013889,,0,1,0,Baseline
40,1,1,140610_1226,16,4,0,0,4,Responder,4,7,1,3,8,450,35,1,2,2,4,30,4,4,0,0,0,0,0,0,-99,2,0,0,0,510,85,2,10,4,4,28.442928,2,4.8000002,150,0,0,1,0,1,4,0,0,0,0,0,1,0,0,1,In-Group,0,1,1,0,0,0,17,.2013889,,1,1,1,Baseline
40,1,2,140610_1226,16,4,0,0,4,Responder,4,7,1,3,8,450,35,1,2,4,3,30,4,4,0,0,0,0,0,0,-99,2,0,0,0,510,85,2,10,4,4,28.442928,2,4.8000002,150,0,0,1,0,1,4,0,0,0,0,1,0,0,0,1,In-Group,0,1,1,0,0,0,17,.2013889,,1,0,0,In-Group
40,2,1,140610_1226,16,4,0,0,4,Responder,4,7,1,2,4,450,35,3,1,5,2,35,1,2,0,0,0,0,0,0,-99,5,0,0,0,510,85,2,10,4,4,28.442928,2,4.8000002,150,0,0,1,0,1,4,0,0,0,1,0,0,0,1,0,Group,0,1,1,0,,,,.2013889,,0,1,1,Baseline
40,2,2,140610_1226,16,4,0,0,4,Responder,4,7,1,2,4,450,35,3,1,1,2,35,1,2,0,0,0,0,0,0,-99,5,0,0,0,510,85,2,10,4,4,28.442928,2,4.8000002,150,0,0,1,0,1,4,0,0,1,0,0,0,0,1,0,Group,0,1,1,0,,,,.2013889,,0,0,0,Group
40,3,1,140610_1226,16,4,0,0,4,Responder,4,7,1,2,2,450,35,3,1,5,1,35,5,1,30,4,4,0,0,0,-99,1,0,0,0,540,90,2,10,4,4,28.442928,2,4.8000002,150,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,Baseline,0,1,1,,,,,.2013889,,0,1,0,Baseline
40,3,2,140610_1226,16,4,0,0,4,Responder,4,7,1,2,2,450,35,3,1,2,4,35,5,1,30,4,4,0,0,0,-99,1,0,0,0,540,90,2,10,4,4,28.442928,2,4.8000002,150,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,Baseline,0,1,1,,,,,.2013889,,0,1,0,Baseline
40,4,1,140610_1226,16,4,0,0,4,Responder,4,7,1,2,2,450,35,3,1,6,4,30,4,4,30,4,4,0,0,0,-99,6,0,0,0,540,90,2,10,4,4,28.442928,2,4.8000002,150,0,0,1,0,1,4,0,0,0,1,0,0,0,1,0,Group,0,1,1,,,,,.2013889,,0,1,1,Baseline
40,4,2,140610_1226,16,4,0,0,4,Responder,4,7,1,2,2,450,35,3,1,1,3,30,4,4,30,4,4,0,0,0,-99,6,0,0,0,540,90,2,10,4,4,28.442928,2,4.8000002,150,0,0,1,0,1,4,0,0,1,0,0,0,0,1,0,Group,0,1,1,,,,,.2013889,,0,0,0,Group
40,5,1,140610_1226,16,4,0,0,4,Responder,4,7,1,3,5,450,35,1,2,1,4,35,2,2,35,2,2,0,0,0,-99,4,0,0,0,545,91,2,10,4,4,28.442928,2,4.8000002,150,0,0,1,0,1,4,1,0,0,0,0,0,1,0,0,Direct,0,1,1,0,,,,.2013889,,1,0,0,Direct
40,5,2,140610_1226,16,4,0,0,4,Responder,4,7,1,3,5,450,35,1,2,2,2,35,2,2,35,2,2,0,0,0,-99,4,0,0,0,545,91,2,10,4,4,28.442928,2,4.8000002,150,0,0,1,0,1,4,0,1,0,0,0,0,1,0,0,Direct,0,1,1,0,,,,.2013889,,1,1,1,Baseline
40,6,1,140610_1226,16,4,0,0,4,Responder,4,7,1,1,8,450,35,2,3,6,1,1,6,4,30,4,4,185,111.666666666667,0,-99,4,170,0,0,710,119,2,10,4,4,28.442928,2,4.8000002,150,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,Baseline,0,1,1,0,,,,.2013889,,0,1,0,Baseline
40,6,2,140610_1226,16,4,0,0,4,Responder,4,7,1,1,8,450,35,2,3,6,4,1,6,4,30,4,4,185,111.666666666667,0,-99,4,170,0,0,710,119,2,10,4,4,28.442928,2,4.8000002,150,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,Baseline,0,1,1,0,,,,.2013889,,0,1,0,Baseline
41,1,1,140610_1226,17,5,0,0,5,Responder,1,10,2,3,7,60,35,1,2,3,1,30,5,1,0,0,0,0,0,0,-99,1,0,0,0,130,22,2,11,5,4,38.820076,2,4.8000002,20,0,0,.13333334,0,2,1,0,0,0,0,0,0,0,0,0,Baseline,0,1,1,,,10,37.5,.21621622,,0,1,0,Baseline
